mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.04651784896850586,0.0019669344814442834,0.006965351104736328,0.00031230552968612225,0.1,0.01,3,100,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.10173517254541198,0.07202926454840708,0.022153950124095156,0.016758761708230208,-0.041758083546021396,0.034183813076024604,0.04941859173160815,1,-0.9511834469717224,-0.9167633659540111,-1.0043273536849182,-1.0052933581756185,-1.0142039356074903,-0.9783542920787521,0.03799264970291002,1
0.04202532768249512,0.00440627204682463,0.0067520618438720705,9.912748390332706e-05,0.01,0.01,3,100,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.10146351508618079,0.07205085240975917,0.020859942891201744,0.016944675307798862,-0.04094378219303452,0.03407504070038121,0.04915135963925094,2,-0.9513272667769653,-0.9167527023227219,-1.0049916592747434,-1.0051983120490102,-1.0138074764389986,-0.9784154833724878,0.03797966891862235,2
0.07871665954589843,0.0018574487159672716,0.006848573684692383,0.0002651620223212893,0.1,0.01,3,200,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.11766216791252293,0.09920979749750558,0.02667342906915071,0.007902393212354752,-0.08348626215383348,0.0335923051075401,0.07181731054611942,3,-0.9427130887603624,-0.903237452470579,-1.0020037296360935,-1.009810708173517,-1.0343167469264296,-0.9784163451933964,0.04815270309472052,3
0.0723698616027832,0.005291276503368919,0.006344652175903321,0.0008682016221176228,0.01,0.01,3,200,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.11693484137784593,0.09930561596887899,0.025735623602316182,0.007960111620534227,-0.08204677972779861,0.033577882568355345,0.07121144748572734,4,-0.9431015561800303,-0.9031894117984027,-1.002486331449643,-1.0097813332843992,-1.0336294398142645,-0.978437614505348,0.04799549166972415,4
0.04477934837341309,0.0008065876703709124,0.006934452056884766,0.0001929574101598951,0.1,0.01,3,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.08682063809627538,0.0714989218492843,0.040635419352740176,0.018686885515255325,-0.05116558048067965,0.033295256866575106,0.048426030186577596,5,-0.95904752821447,-0.9170252973342845,-0.9947910941216435,-1.0043071906032295,-1.0187729796272051,-0.9787888179801666,0.036634531168943794,6
0.04010028839111328,0.0018467142090406435,0.006699895858764649,0.00012470669241790476,0.01,0.01,3,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.5}",0.08557739525277774,0.07157004694100921,0.04178272268766314,0.018351474337112705,-0.051074526496504014,0.03324142254441176,0.04819124633351939,6,-0.9597001510613034,-0.9169901736499758,-0.9941960812375371,-1.004478811196989,-1.0187288546342401,-0.9788188143560091,0.03654041922957901,7
0.07719655036926269,0.004186020829047527,0.0065883159637451175,0.000602361142401641,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.11473279746277654,0.08548350760509471,0.04521551414968439,0.009824945944321484,-0.0907392086752894,0.03290351129731754,0.07131958480149493,7,-0.9442767004877453,-0.9100932246663177,-0.9924136410656784,-1.0088317945135234,-1.0377728735372642,-0.9786776468541059,0.04577650937438147,5
0.06544642448425293,0.0010626650707187307,0.005098485946655273,0.0009837435053947773,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.11063490564645606,0.08302275812094995,0.046011852836135625,0.010640415259833502,-0.09029295734416531,0.032003394903841964,0.06984969788170148,8,-0.9464597001900561,-0.9113168258671103,-0.9919996930790717,-1.0084162918105843,-1.0375605611441059,-0.9791506144181856,0.04495201733950849,8
0.10303854942321777,0.0026221957278501685,0.006844091415405274,7.17527279298541e-05,0.01,0.01,6,100,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.5}",0.09340014887110148,0.06781966722626465,0.015292908664977234,0.0011661748065221467,-0.04121235813782875,0.02729330828620735,0.04802533324859034,9,-0.9555862855301053,-0.9188403914943709,-1.0078446183173115,-1.0132331525815537,-1.0139382552306084,-0.9818885406307899,0.038341269165357975,9
0.10000405311584473,0.003036190256427848,0.006700992584228516,9.171005481181172e-05,0.1,0.01,6,100,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 0.5}",0.09575302816227338,0.06751140427867075,0.0161635083916275,-0.0009370674848088179,-0.04335350480487765,0.027027473708577034,0.0494280768641629,10,-0.9543454735731718,-0.9189923047158901,-1.0073989917543404,-1.0142993730545729,-1.014980249949537,-0.9820032786095023,0.03875770274861616,10
