mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
0.14513754844665527,0.004934764461239373,0.00741109848022461,0.000488234066918697,0.1,0.01,3,400,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.22580054869420396,0.2663242725730446,0.0714325751960575,0.16315121814700762,0.10888379629052569,0.16711848218016787,0.0719001869229546,1,-0.9253382339640406,-0.8930906820146514,-0.9285124413752354,-0.8684522398925848,-0.9213093339028658,-0.9073405862298756,0.02316312559566608,1
0.1433812141418457,0.005300856489539201,0.0065896034240722655,0.0008204964208011808,0.01,0.01,3,400,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.5}",0.2241981165719702,0.2665781682333146,0.0707587971808874,0.16493236099232544,0.10911853370159619,0.16711719533601876,0.07183909220798652,2,-0.9262953679640762,-0.8929361372609322,-0.9288492493478038,-0.8675275438939583,-0.9211879804750144,-0.907359255788357,0.02369059481933867,2
0.14902172088623047,0.004017372427307886,0.007279682159423828,0.00020760382621442803,0.1,0.01,3,400,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.20549355199446295,0.2656284238255532,0.04823388727867339,0.17806631886248825,0.13411407554930987,0.16630725150209752,0.07282342617610663,3,-0.9373953408434184,-0.8935141039198358,-0.940039546336003,-0.860678261852686,-0.9081731139499678,-0.9079600733803822,0.029461258211457262,3
0.1477952480316162,0.0009372494884878343,0.006588411331176758,0.0007066842257111906,0.01,0.01,3,400,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 400, 'subsample': 0.8}",0.2063457526684993,0.2654024869810149,0.0473660608268236,0.1766584477329961,0.13451644214089775,0.16605783807004632,0.07305812192696468,4,-0.9368924731367438,-0.8936515426761097,-0.9404680157346378,-0.8614150643860553,-0.9079620809655085,-0.9080778353798109,0.029206001607732787,4
0.08183636665344238,0.0028981740732880765,0.006802701950073242,0.00019033029087357485,0.1,0.01,3,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.20127005067225,0.22312427954874392,0.07139859245973079,0.1697262174013231,0.13459136543027128,0.16002210110246382,0.05343836962800622,5,-0.9398835792315264,-0.9190079258728212,-0.9285294315818399,-0.8650338607093446,-0.9079227798271842,-0.9120755154445431,0.025776891106235173,6
0.07153453826904296,0.00857493044882125,0.007078409194946289,0.00023762197929674727,0.01,0.01,3,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.5}",0.19916392756595036,0.22305300863178257,0.06948891669975543,0.16972175562887815,0.1350588439664695,0.1592972904985672,0.05369516945438199,6,-0.9411219247634305,-0.91905007999973,-0.9294837050866038,-0.8650361849902862,-0.9076775247369142,-0.912473883915393,0.02617873547872433,7
0.20514898300170897,0.007212066458076895,0.007449722290039063,7.919123979049323e-05,0.01,0.01,6,200,0.5,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.1982311466825386,0.2526930270225912,0.05629951484938589,0.15768907298274726,0.13079223830308728,0.15914099996807005,0.06582120141336495,7,-0.9416698552921593,-0.9013490386204821,-0.9360479456621287,-0.8712818412659115,-0.9099134791371793,-0.9120524319955722,0.025433659808879124,5
0.20669445991516114,0.004413616857124638,0.007546091079711914,0.00021499812813765467,0.1,0.01,6,200,0.5,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200, 'subsample': 0.5}",0.19356441493349663,0.25227892601432966,0.05651757786396017,0.15392153135360698,0.1268130497053762,0.15661909997415394,0.0654702235422284,8,-0.9444063949500717,-0.9015987337704248,-0.935939792051496,-0.8732282294962067,-0.91199386951908,-0.9134334039574558,0.0253946900251323,8
0.07943711280822754,0.0028048688440475062,0.006299781799316406,0.0008105993884469272,0.1,0.01,3,200,0.8,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.18766660458865736,0.2210123259446476,0.04632299976221621,0.17529959422663843,0.14872579743518344,0.1558054643914686,0.05947036218456761,9,-0.9478535289528554,-0.9202562496033443,-0.9409827450319007,-0.8621256165914544,-0.9004778550936092,-0.9143391990546327,0.030940250121841706,9
0.07287564277648925,0.009924312693789036,0.006450271606445313,0.000916848577870414,0.01,0.01,3,200,0.8,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.18789805350871214,0.2210123259446476,0.04630923943146714,0.1752293124759311,0.1484625719882806,0.15578230066980772,0.05950209006550608,10,-0.9477184887677224,-0.9202562496033443,-0.9409895335919118,-0.8621623513901606,-0.9006170642725294,-0.9143487375251338,0.03088737204801636,10
