Batch,SNVNeo_Count_1,SNVNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_1,1,2,ESTIMATE,-0.7514356776745041,0.45277898312924203,ns
Batch_1,1,2,IMPRES,-1.3818636022112314,0.1676916505136193,ns
Batch_1,1,2,C_Bcellsnaive,1.644945299163054,0.10067172958047219,ns
Batch_1,1,2,C_Bcellsmemory,0.42272587669813616,0.6726949779532188,ns
Batch_1,1,2,C_Plasmacells,-1.839270284725624,0.0665268159774734,ns
Batch_1,1,2,C_TcellsCD8,-0.3939761475883003,0.6937832196566729,ns
Batch_1,1,2,C_TcellsCD4naive,-1.0704701980067495,0.28497522842203615,ns
Batch_1,1,2,C_TcellsCD4memoryresting,-0.22052238785970438,0.8255632529806127,ns
Batch_1,1,2,C_TcellsCD4memoryactivated,-1.5947141516325576,0.11147051669697171,ns
Batch_1,1,2,C_Tcellsfollicularhelper,-1.7824303575858584,0.07534576903710379,ns
Batch_1,1,2,C_Tcellsregulatory(Tregs),-0.36975228849140557,0.711739100422205,ns
Batch_1,1,2,C_Tcellsgammadelta,0.4615358649114517,0.6446347638440098,ns
Batch_1,1,2,C_NKcellsresting,0.16603114774366176,0.8682061876842427,ns
Batch_1,1,2,C_NKcellsactivated,-1.4783821667809642,0.13999742306607832,ns
Batch_1,1,2,C_Monocytes,-1.49742813324272,0.13497526684077413,ns
Batch_1,1,2,C_MacrophagesM0,-1.08479235395212,0.27858807339149894,ns
Batch_1,1,2,C_MacrophagesM1,-2.750260915401484,0.006192126443048249,*
Batch_1,1,2,C_MacrophagesM2,1.4443696171514717,0.14932327777260487,ns
Batch_1,1,2,C_Dendriticcellsresting,2.1027599391107907,0.0360354867849807,*
Batch_1,1,2,C_Dendriticcellsactivated,-2.839651612700441,0.004718640754356638,*
Batch_1,1,2,C_Mastcellsresting,1.0051410176935534,0.3153631875086996,ns
Batch_1,1,2,C_Mastcellsactivated,1.6676404861172276,0.09607516497534362,ns
Batch_1,1,2,C_Eosinophils,-1.2225830972856548,0.2221201051237659,ns
Batch_1,1,2,C_Neutrophils,-0.6223900154825629,0.5339972184470703,ns
Batch_1,1,2,S_Attractors_LYM,-0.29723867527489894,0.7664199499175299,ns
Batch_1,1,2,S_Attractors_IFIT3,-1.166923104360159,0.24385263330440984,ns
Batch_1,1,2,S_Attractors_G_GIMAP4,0.8710609351602024,0.3841802343959163,ns
Batch_1,1,2,S_Attractors_G_HLA.DPA1,0.13923676344483946,0.8893246654791016,ns
Batch_1,1,2,S_Attractors_G_SLAMF6,-1.1942707811976596,0.23299428133540523,ns
Batch_1,1,2,S_Attractors_G_LILRB4,-2.4507869306836416,0.014629797782128478,*
Batch_1,1,2,S_Attractors_G_SIGLEC9,-1.2777075857349385,0.20200405835391474,ns
Batch_1,1,2,S_Attractors_G_CYTH4,-0.18727331998301994,0.8515298193370681,ns
Batch_1,1,2,S_Attractors_G_CD3E,-0.3026690418755976,0.7622804120688225,ns
Batch_1,1,2,S_Lymph_Vessels,-0.7557809994021709,0.45017159432030274,ns
Batch_1,1,2,S_ICR_SCORE,-2.765815202178553,0.005909088320834562,*
Batch_1,1,2,S_ICR_INHIB_SCORE,-3.389925982869279,0.0007600086548014942,*
Batch_1,1,2,S_ICR_ACT_SCORE,-2.561651787852759,0.010738759652435962,*
Batch_1,1,2,S_Angiogenesis,3.1756712366228417,0.0015964703805212116,*
Batch_1,1,2,S_APM1,-3.238710213186891,0.0012885915924426168,*
Batch_1,1,2,S_APM2,-0.20511940557623654,0.8375705659510345,ns
Batch_1,1,2,S_ICS5_score,-1.3363556424208067,0.18210095682371455,ns
Batch_1,1,2,S_LIexpression_score,-1.0166029940166867,0.30988258742625857,ns
Batch_1,1,2,S_Chemokine12_score,-2.7954222998665976,0.005402447643853836,*
Batch_1,1,2,S_NHI_5gene_score,-2.0314834986666233,0.04278661827637833,*
Batch_1,1,2,S_CD68,-0.6274436091210615,0.5306832300166018,ns
Batch_1,1,2,S_CD8A,-0.7657653925558232,0.44421296183048165,ns
Batch_1,1,2,S_PD1_data,-1.1908304026457726,0.23434104047227505,ns
Batch_1,1,2,S_PDL1_data,-2.9141210859640534,0.003742728604849267,*
Batch_1,1,2,S_PD1_PDL1_score,-2.2248003335254865,0.026584342367278458,*
Batch_1,1,2,S_CTLA4_data,-2.615206749450198,0.009213496387800493,*
Batch_1,1,2,S_Bcell_mg_IGJ,-1.5942758010983198,0.11156863984560347,ns
Batch_1,1,2,S_Bcell_receptors_score,-0.937399861264673,0.3490502094251432,ns
Batch_1,1,2,S_STAT1_score,-1.4962568589075973,0.1352800288844266,ns
Batch_1,1,2,S_CSF1_response,-1.093955086864681,0.27455347459442836,ns
Batch_1,1,2,S_TcClassII_score,-1.2266013419214201,0.2206068253336043,ns
Batch_1,1,2,S_IL12_score_21050467,-2.1823488249068217,0.029594500748843112,*
Batch_1,1,2,S_IL4_score_21050467,1.9465408599255283,0.05220489481176535,ns
Batch_1,1,2,S_IL2_score_21050467,-0.929051313097614,0.3533550993855331,ns
Batch_1,1,2,S_IL13_score_21050467,0.7720095129382938,0.4405095759818406,ns
Batch_1,1,2,S_IFNG_score_21050467,-3.1178498731155564,0.0019372575970550646,*
Batch_1,1,2,S_TGFB_score_21050467,0.9794463376786254,0.32787997284844017,ns
Batch_1,1,2,S_TREM1_data,-3.9394482630661996,9.448941618605907e-05,*
Batch_1,1,2,S_DAP12_data,-0.31908935275249306,0.7498051946131425,ns
Batch_1,1,2,S_Tcell_receptors_score,-0.4108556985227194,0.6813717710390763,ns
Batch_1,1,2,S_IL8_21978456,-2.0436748696899882,0.04156103804850084,*
Batch_1,1,2,S_IFN_21978456,-1.1937753371757929,0.23318788600260637,ns
Batch_1,1,2,S_MHC1_21978456,-1.5385257469125229,0.12461522986908988,ns
Batch_1,1,2,S_MHC2_21978456,0.17447387684632282,0.8615706641573133,ns
Batch_1,1,2,S_Bcell_21978456,-1.1786125867956077,0.23916847231377333,ns
Batch_1,1,2,S_Tcell_21978456,-0.41337040841403316,0.6795300010039216,ns
Batch_1,1,2,S_CD103pos_mean_25446897,1.005595790638375,0.31514452583410085,ns
Batch_1,1,2,S_CD103neg_mean_25446897,1.1604457886755142,0.24647585951891757,ns
Batch_1,1,2,S_IgG_19272155,-1.6289415189044945,0.10401752326170789,ns
Batch_1,1,2,S_Interferon_19272155,-0.8810604797289712,0.3787502448257297,ns
Batch_1,1,2,S_LCK_19272155,-0.3257757954930663,0.7447437605522467,ns
Batch_1,1,2,S_MHC.I_19272155,-1.9813827699657471,0.04814986419845049,*
Batch_1,1,2,S_MHC.II_19272155,-0.4943201520964065,0.6213186635378974,ns
Batch_1,1,2,S_STAT1_19272155,-3.773801166354094,0.000182046526275524,*
Batch_1,1,2,S_Troester_WoundSig_19887484,1.8336516247746497,0.06735874140877306,ns
Batch_1,1,2,S_MDACC.FNA.1_20805453,-1.2876820032747962,0.19851123104114923,ns
Batch_1,1,2,S_IGG_Cluster_21214954,-1.611551899069993,0.10775290112954548,ns
Batch_1,1,2,S_Minterferon_Cluster_21214954,-1.7988951550179757,0.07269782484600129,ns
Batch_1,1,2,S_Immune_cell_Cluster_21214954,-1.4901980449848493,0.1368650370579507,ns
Batch_1,1,2,S_MCD3_CD8_21214954,3.2548575620634415,0.0012191041402718466,*
Batch_1,1,2,S_Interferon_Cluster_21214954,-1.1835461498270998,0.237210747016519,ns
Batch_1,1,2,S_B_cell_PCA_16704732,-0.2950136122408484,0.7681180444816946,ns
Batch_1,1,2,S_CD8_PCA_16704732,-0.4469214208311199,0.6551444504750531,ns
Batch_1,1,2,S_GRANS_PCA_16704732,-0.9079856689065969,0.36436644431514764,ns
Batch_1,1,2,S_LYMPHS_PCA_16704732,0.7756263641680965,0.43837257175842104,ns
Batch_1,1,2,S_T_cell_PCA_16704732,0.25920217500289244,0.7955964812974183,ns
Batch_1,1,2,S_TGFB_PCA_17349583,0.6170932859690161,0.5374818673693347,ns
Batch_1,1,2,S_Rotterdam_ERneg_PCA_15721472,-0.8970409924193692,0.3701714240427115,ns
Batch_1,1,2,S_HER2_Immune_PCA_18006808,-0.7039037015039937,0.48185281750691833,ns
Batch_1,1,2,S_IR7_score,-0.9522711228423634,0.34146508472380044,ns
