Batch,FusNeo_Count_1,FusNeo_Count_2,Metric,T-Statistic,P-Value,Significance
Batch_2,1,2,S_Module3_IFN_score,-1.0340695582260675,0.302204026477027,ns
Batch_2,1,2,S_Module4_TcellBcell_score,-1.6121007007098644,0.10832945982113111,ns
Batch_2,1,2,S_Module5_TcellBcell_score,-2.1374233255647828,0.0336327394217443,*
Batch_2,1,2,S_Module11_Prolif_score,-3.262359659123268,0.0012751006254508625,*
Batch_2,1,2,S_CD8_CD68_ratio,-0.8757920519067324,0.38206886858006583,ns
Batch_2,1,2,S_TAMsurr_TcClassII_ratio,-1.8938815783818304,0.059512244644085756,ns
Batch_2,1,2,S_CHANG_CORE_SERUM_RESPONSE_UP,-1.7947837487480578,0.07401854284121911,ns
Batch_2,1,2,S_CSR_Activated_15701700,-1.5194441116364812,0.13004231829684554,ns
Batch_2,1,2,S_B_cells,-1.9421563222750682,0.05335529736985364,ns
Batch_2,1,2,S_T_cells,-1.4489686725823565,0.14872631997515948,ns
Batch_2,1,2,S_T_helper,1.739607194430307,0.08328345002788493,ns
Batch_2,1,2,S_Tcm,-0.015904253209151474,0.9873247463933952,ns
Batch_2,1,2,S_Tem,-1.548490956513547,0.12289715037570456,ns
Batch_2,1,2,S_Th1,-2.551037408146111,0.011398105714171497,*
Batch_2,1,2,S_Th2,-1.2539327810592091,0.21115621715889485,ns
Batch_2,1,2,S_TFH,-0.29788819445176745,0.7660609595362547,ns
Batch_2,1,2,S_CD8_Tcells,-0.3696767055049037,0.7119680286864423,ns
Batch_2,1,2,S_Th17,-0.2359557209030896,0.8136797822492338,ns
Batch_2,1,2,S_Treg,-2.679712828792945,0.007908369388826851,*
Batch_2,1,2,S_Tgd,-1.3082708205807125,0.19210461748449878,ns
Batch_2,1,2,S_Cytotoxic_cells,-1.124012670604549,0.26219487750965714,ns
Batch_2,1,2,S_NK_cells,-0.6641743344429764,0.507252798899329,ns
Batch_2,1,2,S_NK_cd56dim,-2.170102686854202,0.031036856385496994,*
Batch_2,1,2,S_NK_cd56bright,2.8828761066704867,0.004319095799149996,*
Batch_2,1,2,S_DC,-1.062379490300772,0.2891923480958226,ns
Batch_2,1,2,S_iDC,1.6729141235105578,0.09572175413383233,ns
Batch_2,1,2,S_aDC,-1.8998289354939173,0.05872303724304576,ns
Batch_2,1,2,S_pDC,-0.3683552592392579,0.7129516328111853,ns
Batch_2,1,2,S_Eosinophils,0.6808563549105539,0.49665629775340314,ns
Batch_2,1,2,S_Macrophages,-1.3141604096947486,0.19011862691572834,ns
Batch_2,1,2,S_Mast,2.685010866150248,0.007787958654889637,*
Batch_2,1,2,S_Neutrophils,-0.27551812676071236,0.7831688366168709,ns
Batch_2,1,2,S_Bindea_full,-0.8349027107966069,0.4046503078855088,ns
Batch_2,1,2,S_Expanded_IFNg,-2.1207234699381767,0.0350300053160412,*
Batch_2,1,2,S_KEGG_MMR,-0.7632747821178768,0.44609205255125894,ns
